Decisao de ferramentas por camada
Material de apoio para o debate em sala
Camada,Ferramenta escolhida,Alternativa avaliada,Por que a escolhida,Por que a alternativa foi descartada
Unitario e API (backend),Jest + Supertest,Vitest + Supertest,"Padrao do ecossistema Node/Express; testa rota, status e autorizacao em memoria; mesma sintaxe do mobile","Vitest e mais rapido, mas manter dois runners diferentes aumenta o custo de manutencao da equipe"
Banco nos testes,SQLite de teste isolado (.env.test),Testcontainers,Zero infraestrutura adicional e reset rapido entre suites,"Testcontainers e mais fiel a producao, mas so compensa quando migrarmos para Postgres"
Dependencia externa (IA),nock,Chamada real ao Google Vision,Elimina custo por chamada e o nao-determinismo do modelo dentro da suite,"Chamada real tornaria o teste lento, instavel e dependente de credito"
Componente (mobile),Jest com preset jest-expo + React Native Testing Library,Vitest + RTL web,Caminho oficial do Expo; resolve transform de modulos nativos e assets; testa comportamento,"RTL web testaria Expo Web, que nao e o produto entregue"
E2E mobile,Maestro,Detox,"Arquivos YAML, curva baixa e roda em Expo Go sem build nativo - cabe no prazo","Detox e mais poderoso, mas exige dev client / build nativo e setup caro"
Carga e concorrencia,k6,Artillery,Sintaxe JS familiar e boas metricas para medir o ganho do cache Redis,"Artillery resolveria o mesmo, mas a equipe ja conhece a sintaxe do k6"
Analise estatica,ESLint (eslint-config-expo) + TypeScript strict,SonarCloud,"Ja configurado no projeto e roda antes da suite, barrando erro por tipagem","SonarCloud agrega metricas, mas exige configuracao extra fora do escopo atual"
Execucao automatizada,GitHub Actions,Execucao local manual,Roda a cada push/PR e bloqueia merge com build vermelho,Execucao manual nao garante regressao continua - suite vira enfeite
Frase de defesa no debate
"Escolhemos Jest + Supertest + Testing Library porque unifica a linguagem de teste entre backend e mobile - a equipe escreve tudo em TypeScript com uma sintaxe so - e Maestro para E2E porque e o unico que roda no Expo Go sem exigir build nativo, o que era inviavel no nosso prazo."
