Selecao para automacao
Casos TC01-TC94 da rodada 2 (docs/tests/ia/saida-rodada-2.md). Preencher em selecao-automacao.xlsx (calcula a decisao) e reexportar esta aba. Vazio = a preencher pela equipe.
Horizonte (meses restantes),A CONFIRMAR
ID,Nivel,Tm manual/exec (min),Ti implementar (min),Ta auto/exec (s),Mn manut./mes (min),F exec./mes,Automatizar?,Situacao atual,Titulo do caso,HU,Teste automatizado que cobre,Observacoes
TC01,Integração de componentes,,,0.347,,,,Automatizado,Cadastrar usuário com dados válidos.,HU-01 Cadastro de conta,tests/acceptance/01_auth.test.ts › CT-AUTH-01,Ta medido
TC02,Integração de componentes,,,0.024,,,,Não automatizado,Verificar que o cadastro cria o cookie de sessão HTTP-only.,HU-01 Cadastro de conta,,"Ta: referencia por analogia; CT-AUTH-01 confere só o nome do cookie (urbanize_session), não o atributo HttpOnly. Falta 1 assert."
TC03,Integração de componentes,,,0.024,,,,Não automatizado,Atribuir o perfil cidadao quando role é omitido.,HU-01 Cadastro de conta,,Ta: referencia por analogia; CT-AUTH-01 envia role explicitamente; nenhum teste omite role.
TC04,Integração de componentes,,,0.024,,,,Não automatizado,Cadastrar usuário com perfil gestor.,HU-01 Cadastro de conta,,Ta: referencia por analogia
TC05,Integração de componentes,,,0.024,,,,Não automatizado,Recusar cadastro com role fora do enum.,HU-01 Cadastro de conta,,Ta: referencia por analogia; CT-AUTH-03 não envia role fora do enum.
TC06,Integração de componentes,,,0.024,,,,Não automatizado,Recusar cadastro com nome de 1 caractere.,HU-01 Cadastro de conta,,Ta: referencia por analogia; CT-AUTH-03 manda nome curto E e-mail inválido no mesmo payload: não isola esta regra.
TC07,Integração de componentes,,,0.024,,,,Não automatizado,Aceitar cadastro com nome de 2 caracteres.,HU-01 Cadastro de conta,,Ta: referencia por analogia
TC08,Integração de componentes,,,0.024,,,,Não automatizado,Recusar cadastro com senha vazia.,HU-01 Cadastro de conta,,Ta: referencia por analogia
TC09,Integração de componentes,,,0.024,,,,Não automatizado,Aceitar cadastro com senha de 1 caractere.,HU-01 Cadastro de conta,,Ta: referencia por analogia
TC10,Integração de componentes,,,0.024,,,,Não automatizado,Recusar cadastro com e-mail em formato inválido.,HU-01 Cadastro de conta,,Ta: referencia por analogia; CT-AUTH-03 manda nome curto E e-mail inválido no mesmo payload: não isola esta regra.
TC11,Integração de componentes,,,0.213,,,,Automatizado,Recusar cadastro com e-mail já cadastrado.,HU-01 Cadastro de conta,tests/acceptance/01_auth.test.ts › CT-AUTH-02,Ta medido
TC12,Sistema,,,2.706,,,,Não automatizado,Criar conta de cidadão pela tela de cadastro.,HU-01 Cadastro de conta,,Ta: referencia por analogia
TC13,Integração de componentes,,,0.17,,,,Automatizado,Autenticar usuário com perfil cidadão.,HU-02 Login,tests/acceptance/01_auth.test.ts › CT-AUTH-04,Ta medido
TC14,Integração de componentes,,,0.138,,,,Automatizado,Autenticar usuário com perfil gestor.,HU-02 Login,tests/acceptance/01_auth.test.ts › CT-AUTH-05,Ta medido
TC15,Integração de componentes,,,0.153,,,,Automatizado,Recusar login com senha incorreta.,HU-02 Login,tests/acceptance/01_auth.test.ts › CT-AUTH-06,Ta medido
TC16,Integração de componentes,,,0.012,,,,Automatizado,Recusar login com e-mail não cadastrado.,HU-02 Login,tests/acceptance/01_auth.test.ts › CT-AUTH-07,Ta medido
TC17,Integração de componentes,,,0.024,,,,Não automatizado,Recusar login sem o campo email.,HU-02 Login,,Ta: referencia por analogia
TC18,Sistema,,,1.923,,,,Automatizado,Entrar pela tela de login com perfil cidadão.,HU-02 Login,e2e/tests/buscar-demandas.spec.ts (login do cidadão e /dashboard),Ta medido
TC19,Sistema,,,2.377,,,,Automatizado,Entrar pela tela de login com perfil gestor.,HU-02 Login,e2e/tests/gestor-aceita-triagem.spec.ts (login do gestor e 'Painel do gestor'),Ta medido
TC20,Componente,,,0.013,,,,Não automatizado,Guardar na sessão o token retornado pelo login.,HU-02 Login,,"Ta: referencia por analogia; authService.test confere o token devolvido pelo login, mas não lê o token da session depois."
TC21,Componente,,,0.005,,,,Automatizado,Enviar o token da sessão no cabeçalho Authorization das requisições.,HU-02 Login,tests/unit/services/api.test.ts › envia Authorization assim que o token entra em memória,Ta medido
TC22,Integração de componentes,,,0.017,,,,Automatizado,Recusar acesso a rota protegida sem credencial.,HU-02 Login,tests/acceptance/01_auth.test.ts › CT-AUTH-09,Ta medido
TC23,Integração de componentes,,,0.02,,,,Automatizado,Recusar acesso com token adulterado.,HU-02 Login,tests/acceptance/01_auth.test.ts › CT-AUTH-10,Ta medido
TC24,Integração de componentes,,,0.024,,,,Não automatizado,Recusar acesso com token expirado.,HU-02 Login,,"Ta: referencia por analogia; CT-AUTH-10 usa token forjado, não token expirado."
TC25,Integração de componentes,,,0.024,,,,Não automatizado,Autenticar requisição usando só o cookie de sessão.,HU-02 Login,,Ta: referencia por analogia
TC26,Integração de componentes,,,0.009,,,,Automatizado,Remover o cookie de sessão no logout.,HU-02 Login,tests/acceptance/01_auth.test.ts › CT-AUTH-11,Ta medido
TC27,Integração de componentes,,,0.011,,,,Automatizado,Retornar erro padronizado para rota inexistente.,SUPOSIÇÃO (nenhuma HU. Regra do contrato de API),tests/acceptance/04_general.test.ts › CT-GEN-03,Ta medido
TC28,Integração de componentes,,,0.187,,,,Automatizado,Gerar protocolo ao criar demanda válida.,HU-03 Registro de demanda,tests/acceptance/02_demands.test.ts › CT-DEM-01,Ta medido
TC29,Integração de componentes,,,0.024,,,,Não automatizado,Criar a demanda com status inicial registrada.,HU-03 Registro de demanda,,"Ta: referencia por analogia; CONFLITO: TC29 espera status 'registrada', mas a API cria em 'em_analise' e CT-DEM-01 valida 'em_analise'. Resolver a lacuna L05 antes de automatizar."
TC30,Integração de componentes,,,0.024,,,,Não automatizado,Aplicar prioridade padrão media quando prioridade é omitida.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC31,Integração de componentes,,,0.024,,,,Não automatizado,Aplicar bairro e cidade padrão quando omitidos.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC32,Integração de componentes,,,0.024,,,,Não automatizado,Preencher o solicitante com os dados do usuário autenticado.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC33,Integração de componentes,,,0.025,,,,Automatizado,Recusar demanda com titulo de 2 caracteres.,HU-03 Registro de demanda,tests/acceptance/02_demands.test.ts › CT-DEM-03,Ta medido
TC34,Integração de componentes,,,0.024,,,,Não automatizado,Aceitar demanda com todos os obrigatórios no tamanho mínimo.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC35,Integração de componentes,,,0.012,,,,Automatizado,Recusar demanda com descricao de 4 caracteres.,HU-03 Registro de demanda,tests/acceptance/02_demands.test.ts › CT-DEM-04,Ta medido
TC36,Integração de componentes,,,0.024,,,,Não automatizado,Recusar demanda com endereco.endereco de 2 caracteres.,HU-03 Registro de demanda,,Ta: referencia por analogia; CT-DEM-06 omite o objeto endereco inteiro; não testa endereco com 2 caracteres (valor limite).
