Resumo do backlog
Valores calculados a partir da aba Backlog Automacao
Indicador,Quantidade,% do backlog
Total de casos no backlog,16,1
Prioridade P0,5,0.3125
Prioridade P1,8,0.5
Prioridade P2,3,0.1875
Camada API,9,0.5625
Camada Componente,2,0.125
Camada E2E,2,0.125
Camada Concorrencia,2,0.125
Camada CI,1,0.0625
Status: Automatizado,0,0
Status: Em andamento,0,0
Status: Nao iniciado,16,1
Esforco total estimado (h),39
Criterio de saida da fase 1
"Todos os casos P0 automatizados e verdes no CI antes da proxima entrega. Cobertura de codigo e indicador de apoio, nao meta: o alvo e cobrir os riscos mapeados."
