Escopo do plano e riscos que guiam a priorizacao
Item,Dentro do escopo?,Observacao
"Autenticacao, perfis e protecao de rotas",Sim,Nucleo da regra de negocio - maior risco do sistema.
"CRUD de demandas (criar, listar, filtrar, detalhar)",Sim,Fluxo principal do cidadao.
Upload de imagem e triagem automatica,Sim,Vision mockado; testa-se o contrato e o fallback.
Alteracao de status e historico,Sim,"Acao exclusiva do gestor, com efeito colateral no historico."
Metricas com e sem Redis,Sim,Cobre o requisito de cache/arquitetura distribuida.
Cron de snapshot de metricas,Sim,Verificar idempotencia.
Precisao da classificacao do Google Vision,Nao,Nao-deterministico e pago - validacao manual por amostragem.
Camera real do dispositivo,Nao,Depende de hardware; mock de expo-image-picker cobre o fluxo.
Aparencia em multiplos aparelhos e tamanhos,Nao,Custo alto para o prazo - inspecao manual.
Desempenho do Render em cold start,Nao,"Caracteristica da hospedagem, nao da aplicacao."
Testes exploratorios de usabilidade,Nao,Por natureza nao roteirizaveis.
Matriz de riscos
Risco,Impacto,Mitigacao pelo teste
Cidadao conseguir alterar status de demanda,Critico,AUT-01 - teste de API esperando 403
Token invalido ou ausente nao barrado,Critico,AUT-03 - teste de API esperando 401
Demanda criada sem imagem ou sem orgao responsavel,Alto,AUT-04 e AUT-07
Google Vision indisponivel ou fora de credito,Medio,AUT-06 - fallback com nock
Historico duplicado em edicao concorrente,Medio,AUT-14 - requisicoes em paralelo
Metricas divergentes entre cache e banco,Medio,AUT-09 - execucao com e sem Redis
