Entregas por Disciplina e Unidade — 5º Semestre,,,,,,,,,,,,
,,,,,,,,,,,,
Disciplina,Unidade,Entrega,Descrição,Objetivo pedagógico,Relação com o PI,Artefatos esperados,Critérios técnicos mínimos,Evidências,Conteúdos da disciplina,Dependências,Momento,Observações ao professor
Desenvolvimento Mobile,U1,App inicial com registro de demanda (foto e GPS),"Aplicativo React Native com navegação, login, registro de demanda (categoria, descrição, foto e localização) e acompanhamento, consumindo um backend inicial.",Aplicar desenvolvimento mobile e o uso de recursos do dispositivo em um produto real.,"É o núcleo navegável do produto, onde as demais camadas se integram.",Repositório Git; app React Native; backend inicial; build em dispositivo/emulador; screencast.,Registro com foto e GPS funcionando; navegação e listagem; consumo de API; build executável.,App rodando em dispositivo/emulador + commits distribuídos.,"React Native, navegação, câmera/GPS, consumo de APIs.",Requisitos de segurança (SEG) e contrato de dados (DADOS).,Semana 8–9 (fecha a U1).,Garantir uso real da câmera e do GPS; não deixar o backend para depois.
Desenvolvimento Mobile,U2,App completo integrado,"App final com notificações, refinamento de UX e modo offline básico, integrado ao backend, à segurança e à camada de dados; versão empacotada.",Integrar o app às camadas das demais disciplinas e entregar uma versão final.,Entrega o produto final que materializa o trabalho de todas as disciplinas.,Código final do app e do backend; integração com SEG e DADOS; build empacotado; screencast.,Fluxo completo (registrar→acompanhar→notificar); controles de segurança ativos; dados integrados.,Demonstração end-to-end no dispositivo + build empacotado.,"Notificações, offline básico, integração, empacotamento.",Controles de SEG; analytics de DADOS; pipeline de DOPS.,Semana 16–17 (fecha a U2).,"Integração real entre app, backend e camadas; evitar telas isoladas."
Segurança da Informação,U1,"Análise de riscos, requisitos e plano LGPD","Análise de riscos e ameaças, requisitos de segurança, modelo de autenticação/autorização e plano de conformidade com a LGPD.",Aplicar princípios de segurança e proteção de dados a um produto que trata dados de cidadãos.,Define os controles que o app e o backend precisam implementar.,Relatório de riscos; requisitos de segurança; modelo de auth; plano de conformidade LGPD.,Riscos relevantes identificados; requisitos claros; modelo de auth adequado; LGPD endereçada.,Documento de segurança revisado com MOB.,"Riscos/ameaças, autenticação/autorização, LGPD.",Arquitetura do app/backend (MOB).,Semana 8–9 (fecha a U1).,"Trabalhar sobre o app real, não requisitos genéricos."
Segurança da Informação,U2,Implementação e validação dos controles,"Implementação dos controles (autenticação, criptografia em trânsito/repouso, armazenamento seguro de tokens, logs/auditoria) e relatório de conformidade e teste de segurança básico.",Implementar e validar segurança de fato no produto.,Garante proteção dos dados e conformidade legal da solução.,Controles implementados; relatório de conformidade; teste de segurança básico.,Controles funcionando no app/backend; tokens protegidos; evidências de teste; LGPD atendida.,Demonstração dos controles + relatório.,"Criptografia, gestão de credenciais, auditoria.",App/backend (MOB).,Semana 15–16 (fecha a U2).,"Exigir implementação e evidências, não apenas a descrição dos controles."
Negócios na Internet,U1,Arquitetura e jornada de valor do negócio,"Personas, Mapeamento de Stakeholders, Jornada do usuário e Modelo de negócio (canvas)",Estruturar o serviço digital para gerar e capturar valor.,Dá sentido de negócio ao produto/serviço e orienta as funcionalidades de maior valor.,"Framework com personas, Mapa de Stakeholders, Mapa de Jornada do usuário e Canvas de Modelo de Negócio",Modelos e mapeamentos coerentes e jornada clara.,"Framework, Mapas e Business Model Canvas.","Ondas da Inovação, Mundo Figital, Estrutura dos Modelos de Negócio, Arquitetura de Valor, Jornada de Valor, Ambiente de Modelo de Negócios & Tendências Atuais e Emergentes e Suas Implicações  e Ambidestria.
",Visão do produto (MOB).,Semana 8–9 (fecha a U1).,N/A
Negócios na Internet,U2,Plano de sustentabilidade,"Plano de sustentabilidade do negócio, contemplando definição dos KPIs e aspectos legais.",Avaliar e sustentar o serviço digital para dar viabilidade ao negócio.,Fecha a visão de serviço e mostra o valor da plataforma.,"Plano de sustentabilidade do negócio, contemplando definição dos KPIs e aspectos legais.","Plano coerente, com aspectos legais estabelecidos.","Relatório de sustentabilidade, contendo KPIs e aspectos legais.","Métricas de Negócios Inovadores, Rupturas, Padrões Inventivos & Mudança de Padrões, Gestão de Mudança, 
Avaliando Modelos de Negócios.",Indicadores (DADOS) e controles legais (SEG).,Semana 15–16 (fecha a U2).,N/A
Engenharia e Ciência de Dados e Big Data (Eletiva),U1,Modelo analítico e pipeline ETL inicial,"Modelo de dados analíticos, pipeline ETL inicial das demandas e primeiras análises (volume por categoria/região).",Aplicar engenharia/ciência de dados a um fluxo real de demandas.,Transforma os dados da plataforma em informação útil.,Modelo analítico; pipeline ETL; primeiras análises; gráficos.,ETL funcional; modelo coerente; análises pertinentes.,Pipeline executado sobre dados sintéticos + análises.,"ETL, armazenamento, análise de dados.",Dados do backend (MOB).,Semana 8–9 (fecha a U1).,"Usar os dados reais do app, não conjuntos genéricos."
Engenharia e Ciência de Dados e Big Data (Eletiva),U2,Analytics consolidado e painel,"Analytics consolidado (tempo de atendimento, regiões críticas, tendências) e painel; opcionalmente, ingestão em maior volume com dados sintéticos.",Consolidar a análise e entregar indicadores acionáveis.,Alimenta os KPIs de negócio e a visão de gestão das demandas.,Analytics consolidado; painel de indicadores; (opcional) ingestão em volume.,Indicadores corretos e úteis; painel integrado; qualidade dos dados.,Painel + relatório de análise.,"Analytics, big data, visualização.",Dados acumulados (MOB); operação (DOPS).,Semana 15–16 (fecha a U2).,Integrar o painel ao produto e aos KPIs de NEG.
Testes Automatizados (Eletiva),U1,"Fundação da automação: plano, modelagem e testes executáveis","Plano de Testes do Cidade Conectada, suíte de casos modelada a partir dos critérios de aceite e testes automatizados de unidade e de API executando localmente de forma reprodutível, com backlog de automação priorizado e uso documentado de IA Generativa no refinamento de requisitos, na análise e na modelagem dos testes.","Aplicar os fundamentos de teste e a automação desde o início do desenvolvimento (Shift Left), usando IA Generativa como apoio e não como substituta do julgamento técnico.",Cria a rede de proteção que sustenta a evolução do app ao longo do semestre.,Plano de Testes; suíte de casos modelada; repositório com testes automatizados (unidade e API); backlog de automação priorizado; registro dos prompts e da revisão crítica dos artefatos gerados por IA.,"Suíte executa por comando único, sem passos manuais, em outra máquina do time; testes escritos sobre o app/backend reais do projeto; casos rastreáveis aos critérios de aceite; conteúdo gerado por IA revisado e corrigido.",Execução da suíte com relatório local + histórico de commits distribuído no squad.,"Fundamentos de testes, Shift Left, automação de testes, laboratório mobile, arquitetura de automação e testes de APIs, estratégias de automação (aulas 2 a 6).",Critérios de aceite (MOB/NEG); backend inicial com endpoints (MOB); requisitos de segurança (SEG).,"Semana 8–9 (fecha a U1; conteúdo das aulas 3 a 6, entrega até 30/9).","Pipeline/CI só é ensinada na aula 7 (23/9) e praticada na aula 9 (7/10): nesta unidade exigir execução local reprodutível, não CI. Cobrar revisão crítica do que a IA gerou."
Testes Automatizados (Eletiva),U2,"Continuous Testing, suíte E2E e qualidade","Pipeline de testes executando automaticamente por commit/PR, suíte E2E dos fluxos principais sobre o app integrado, relatório de métricas de teste com interpretação e manutenção da suíte apoiada por IA.","Consolidar uma solução de automação sustentável, integrada à entrega contínua e apoiada por métricas de qualidade.",Garante que a versão final funciona de ponta a ponta e sustenta a decisão de qualidade sobre a entrega.,"Pipeline de testes configurada no repositório; suíte E2E; relatório de métricas (taxa de sucesso, cobertura, defeitos, tempo de execução); registro de manutenção da suíte.",Execução automática a cada commit/PR; E2E sobre o app integrado ao backend real (não mock); métricas interpretadas; testes instáveis tratados e não desativados sem justificativa.,Histórico de execuções da pipeline + relatório de qualidade.,"Continuous Testing e CI/CD, laboratório de pipeline de testes, relatórios e métricas de teste, testes de sistemas baseados em IA, manutenção da automação (aulas 7 e 9 a 13).",App integrado (MOB); controles de segurança (SEG); massa de dados (DADOS).,"Semana 15–16 (fecha a U2; conteúdo das aulas 9 a 13, entrega até 18/11).","A atividade assíncrona de manutenção (aula 13, 11/11) deve ser o próprio artefato de manutenção da entrega, evitando trabalho duplicado na mesma semana."
